곡번호,곡제목,음악길이(ms),음악길이(초),처리시간(ms),비트감지(ms),섹션감지(ms),처리오버헤드(ms),음악대비처리시간
1,LE SSERAFIM(르세라핌) 'SPAGHETTI' (4K)  STUDIO CHOOM ORIGINAL,160220,160.2,9262,8915,222,125,57.8
2,ILLIT(아일릿) 'It's Me' (4K)  STUDIO CHOOM ORIGINAL,160970,161.0,9258,8848,142,268,57.5
3,aespa 에스파 'Next Level' MV,235710,235.7,12000,11971,16,13,50.9
4,Charlie Puth - Attention [Official Video],231830,231.8,12000,11971,16,13,51.7
5,aespa 에스파 'Supernova' MV,193430,193.4,9943,9907,18,18,51.4
6,Ed Sheeran - Shape of You (Official Music Video),263270,263.3,13314,13279,17,18,50.6
7,I'll Like You,127740,127.7,6543,6523,9,11,51.2
8,BLACKPINK - '뛰어(JUMP)' MV,193220,193.2,9817,9791,13,13,50.8
9,Good Goodbye,223060,223.1,11322,11295,15,12,50.8
10,ILLIT (아일릿) 'Lucky Girl Syndrome' Official MV,145920,145.9,7408,7390,9,9,50.8
11,Magnetic,160730,160.7,16426,16387,21,18,102.2
12,[클래식을 좋아하세요! CD 01] Bach 01 Brandenburg Concerto No.3 In G Major,333410,333.4,16426,16387,21,18,49.3
13,Midnight Fiction,168160,168.2,8364,8337,14,13,49.8
14,My World,107510,107.5,5326,5314,7,5,49.5
15,Almond Chocolate,201810,201.8,10436,10403,13,20,51.7
16,Stray Kids 神메뉴(God's Menu) MV,186300,186.3,9544,9514,15,15,51.2
17,The_Drum_cover_by_COOMO,187880,187.9,9346,9324,12,10,49.7
18,Entrance,98810,98.8,5087,5076,7,4,51.5
19,IYKYK (If You Know You Know),144150,144.2,7313,7296,9,8,50.7
20,ILLIT (아일릿) 'Cherish (My Love)' Dance Practice (Fix Ver.),181610,181.6,9109,9088,12,9,50.1
21,02_Magnetic_ILLIT,160760,160.8,8092,8073,10,9,50.3
22,모든 날, 모든 순간 Every day, Every Moment,210540,210.5,10758,10737,13,8,51.0
23,Attention,180120,180.1,9160,9140,10,10,50.9
24,Let's go see the stars (별 보러 가자),315030,315.0,16087,16056,19,12,51.1
25,TOMBOY,241750,241.8,12256,12220,19,17,50.7
26,Dynamite,202670,202.7,10115,10093,12,10,49.9
27,Golden,194610,194.6,10689,10669,12,8,54.9
28,Soda Pop Official Lyric Video  KPop Demon Hunters  Sony Animation,170110,170.1,8532,8513,10,9,50.2
29,Celebrity (Celebrity),195610,195.6,9910,9889,12,9,50.7
30,iKON - '사랑을 했다(LOVE SCENARIO)' MV,211770,211.8,10758,10736,13,9,50.8
31,BLACKPINK - 'Kill This Love' MV,193680,193.7,9759,9731,15,13,50.4
32,Pimple,160060,160.1,8103,8090,6,7,50.6
33,Tick-Tack,129530,129.5,9493,9478,8,7,73.3
